frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects
80,49.47,20.0,132,148,631,78493,480,31,5,-175.5,142.5,1675.0,1831783934,1,824,149,540.1,481.7,0
81,29.15,20.0,138,139,666,82726,430,31,5,-175.5,142.0,1666.1,1832742482,1,871,149,544.1,485.7,0
82,31.10,20.0,140,141,729,90304,380,31,4,-175.5,141.6,1660.7,1810749420,1,920,149,544.1,485.7,0
83,48.19,20.0,176,175,760,93612,368,31,4,-175.5,141.3,1655.0,1780934961,1,930,155,544.5,486.0,0
84,37.03,20.0,230,197,781,97017,353,31,4,-175.5,140.7,1645.8,1784710914,1,942,159,547.5,489.0,0
85,43.42,20.0,284,181,697,92115,343,31,4,-175.5,140.2,1638.7,1787916552,1,949,161,548.5,490.0,0
86,79.64,20.0,338,153,602,82908,334,31,4,-175.5,139.7,1630.1,1796597596,1,955,162,549.5,491.0,0
87,40.92,18.0,392,138,576,81674,324,31,4,-175.5,138.7,1614.1,1799554078,1,962,162,553.5,495.0,0
88,37.10,18.0,432,132,576,79059,284,31,4,-175.5,138.2,1605.6,1802899634,1,998,164,554.5,496.0,0
89,40.87,18.0,488,115,562,79728,246,31,4,-175.5,137.7,1597.9,1806176302,1,1032,164,555.5,497.0,0
90,40.47,18.0,542,104,564,78637,220,31,3,-175.5,137.2,1589.3,1806924586,1,1055,167,556.5,498.0,0
91,40.72,18.0,596,101,565,77981,193,31,3,-175.5,136.6,1580.6,1809920778,1,1079,172,556.5,498.0,0
92,52.27,18.0,652,95,532,74352,168,31,3,-175.5,136.1,1571.8,1814887106,1,1100,172,557.5,499.0,0
93,75.77,18.0,690,99,553,73510,121,31,3,-175.5,135.3,1560.3,1824554266,1,1144,174,559.5,501.0,0
94,35.26,18.0,692,90,544,72304,186,31,4,-175.5,134.3,1543.4,1830022486,1,1194,174,563.6,505.1,0
95,35.14,18.0,698,100,597,76879,304,31,6,-175.5,133.8,1535.5,1834689222,1,1242,176,573.4,514.6,0
96,85.70,18.0,702,169,663,89119,277,35,4,-175.5,133.3,1527.5,1841695986,1,1290,193,575.1,516.0,0
97,60.50,18.0,719,182,675,93284,227,34,4,-175.5,132.1,1507.8,1846942294,1,1331,195,576.0,516.9,0
98,44.44,18.0,721,175,678,102202,491,34,6,-175.5,131.2,1493.8,1854300762,1,1381,195,582.7,523.0,0
99,82.50,18.0,749,166,659,99536,483,34,6,-175.5,130.5,1483.4,1860468358,1,1409,211,587.9,528.0,0
100,31.06,18.0,763,181,638,100751,433,34,6,-175.5,129.3,1463.9,1865616594,1,1452,211,589.8,529.9,0
101,97.92,18.0,768,209,702,110372,383,34,6,-175.5,128.9,1456.6,1881445804,1,1502,211,592.5,532.6,1
102,33.33,18.0,768,314,854,128304,333,34,6,-175.5,127.4,1433.2,1886306895,1,1552,211,596.8,536.9,1
103,58.97,18.0,777,362,925,140714,283,34,6,-175.5,126.9,1425.3,1896579609,1,1600,211,601.5,541.6,2
104,83.68,18.0,781,359,1024,148390,233,34,6,-175.5,126.0,1411.1,1916585119,1,1648,211,604.8,544.9,2
105,77.25,18.0,786,330,1090,154692,183,33,5,-175.5,124.8,1391.1,1925793975,1,1694,211,608.8,548.9,2
106,29.91,18.0,795,256,1017,140418,287,33,6,-175.5,123.6,1372.5,1928976999,1,1740,211,614.8,554.9,2
107,31.16,18.0,812,269,1060,144455,237,34,5,-175.5,123.2,1365.4,1932500770,1,1787,211,619.5,559.6,3
108,32.27,18.0,819,289,1110,151482,320,34,6,-175.5,122.7,1357.9,1937412275,1,1834,211,619.8,559.9,3
109,54.56,18.0,828,286,1178,157650,270,34,6,-175.5,122.2,1350.2,1946683533,1,1882,211,622.5,562.6,4
110,25.36,18.0,838,297,1218,157071,220,34,6,-175.5,121.4,1337.2,1947589307,1,1927,211,625.8,565.9,4
111,82.02,18.0,851,311,1283,164475,170,34,6,-175.5,121.0,1331.2,1965547147,1,1973,211,626.5,566.6,5
112,29.03,18.0,852,288,1296,164846,223,35,6,-175.5,119.8,1311.8,1968735079,1,2023,211,630.8,570.9,5
113,46.39,18.0,892,318,1198,161913,173,36,5,-175.5,119.4,1305.0,1971981459,1,2069,211,635.2,575.2,5
114,36.48,18.0,898,327,1215,165221,738,36,6,-175.5,118.7,1294.1,1973786019,1,2117,211,636.8,576.8,5
115,126.71,18.0,885,320,1221,157084,693,35,6,-175.5,118.2,1285.6,1980252687,1,2074,215,1161.0,1101.1,5
116,37.94,18.0,905,312,1268,157713,643,35,6,-175.5,116.4,1256.6,1987719181,1,2122,219,1162.3,1102.3,5
117,30.93,18.0,910,306,1235,147517,593,35,6,-175.5,115.8,1248.0,1990319715,1,2172,220,1164.6,1104.6,6
118,55.61,18.0,910,311,1264,153347,543,35,6,-175.5,115.4,1241.1,1999549083,1,2222,220,1164.9,1105.0,6
119,67.20,18.0,921,357,1271,154283,493,35,6,-175.5,114.6,1228.7,2009284403,1,2272,225,1169.6,1109.6,7
120,55.35,18.0,957,414,1305,150522,462,35,6,-175.5,113.7,1214.0,2013265380,1,2301,230,1173.3,1113.3,7
121,37.96,16.0,1011,396,1286,147881,459,35,6,-175.5,113.0,1202.1,2015754396,1,2301,230,1174.3,1114.3,7
122,65.93,16.0,1019,522,1469,174649,403,35,6,-175.5,112.5,1194.1,2026221724,1,2347,234,1174.9,1115.0,7
123,48.54,16.0,1019,597,1586,187195,353,35,5,-175.5,111.6,1180.3,2033317250,1,2397,234,1178.9,1119.0,7
124,36.44,16.0,1022,707,1651,195161,462,35,6,-175.5,111.0,1170.4,2038507074,1,2446,234,1181.9,1122.0,7
125,111.18,16.0,1015,710,1691,198126,390,31,5,-175.5,110.5,1163.0,2045333278,1,2485,234,1183.9,1124.0,7
126,39.88,16.0,1015,656,1562,197721,340,31,5,-175.5,109.2,1141.3,2047244074,1,2279,234,1186.9,1127.0,7
127,41.56,16.0,1021,911,1844,223338,290,31,5,-175.5,108.7,1133.8,2052489942,1,2329,234,1189.0,1129.0,8
128,39.77,16.0,1028,964,1926,228111,454,31,6,-175.5,108.2,1126.1,2057688154,1,2376,234,1191.0,1131.0,8
